"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","444","The user enters invalid username ""abc"" on viewport size is 820×1180 (example #12)","Username validation: invalid username: too short: abc","Tue May 13 10:34:08 CEST 2025","passed","Tue May 13 10:34:09 CEST 2025","","","",""
"","678","The user enters invalid username ""01234567890"" on viewport size is 1280×720 (example #4)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:44 CEST 2025","passed","Tue May 13 10:33:45 CEST 2025","","","",""
"","561","The user enters valid username ""Valid_123"" on viewport size is 1920×1080 (example #1)","Username validation: valid username: Valid_123","Tue May 13 10:34:30 CEST 2025","passed","Tue May 13 10:34:31 CEST 2025","","","",""
"","559","The user enters invalid username ""01234567890"" on viewport size is 800×1280 (example #11)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:49 CEST 2025","passed","Tue May 13 10:33:49 CEST 2025","","","",""
"","611","The user enters invalid username ""parentalité"" on viewport size is 412×915 (example #8)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:23 CEST 2025","passed","Tue May 13 10:34:23 CEST 2025","","","",""
"","819","The user enters invalid username ""abc"" on viewport size is 1920×1080 (example #1)","Username validation: invalid username: too short: abc","Tue May 13 10:33:56 CEST 2025","passed","Tue May 13 10:33:57 CEST 2025","","","",""
"","562","The user enters invalid username ""parentalité"" on viewport size is 393×873 (example #7)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:22 CEST 2025","passed","Tue May 13 10:34:23 CEST 2025","","","",""
"","617","The user enters valid username ""Valid_123"" on viewport size is 1280×800 (example #10)","Username validation: valid username: Valid_123","Tue May 13 10:34:54 CEST 2025","passed","Tue May 13 10:34:54 CEST 2025","","","",""
"","514","The user enters invalid username ""parentalité"" on viewport size is 1280×800 (example #10)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:24 CEST 2025","passed","Tue May 13 10:34:24 CEST 2025","","","",""
"","617","The user enters invalid username ""parentalité"" on viewport size is 390×844 (example #6)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:21 CEST 2025","passed","Tue May 13 10:34:22 CEST 2025","","","",""
"","552","The user enters invalid username ""parentalité"" on viewport size is 820×1180 (example #12)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:25 CEST 2025","passed","Tue May 13 10:34:25 CEST 2025","","","",""
"","657","The user enters invalid username ""abc"" on viewport size is 360×800 (example #5)","Username validation: invalid username: too short: abc","Tue May 13 10:33:59 CEST 2025","passed","Tue May 13 10:34:00 CEST 2025","","","",""
"","544","The user enters valid username ""Valid_123"" on viewport size is 1536×864 (example #3)","Username validation: valid username: Valid_123","Tue May 13 10:34:31 CEST 2025","passed","Tue May 13 10:34:32 CEST 2025","","","",""
"","630","Tab Navigation on the Representative Page","Tab Navigation: Representative page","Tue May 13 10:33:37 CEST 2025","passed","Tue May 13 10:33:38 CEST 2025","","","",""
"","640","The user enters invalid username ""parentalité"" on viewport size is 1280×720 (example #4)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:20 CEST 2025","passed","Tue May 13 10:34:21 CEST 2025","","","",""
"","510","The user enters valid username ""Valid_123"" on viewport size is 390×844 (example #6)","Username validation: valid username: Valid_123","Tue May 13 10:34:37 CEST 2025","passed","Tue May 13 10:34:38 CEST 2025","","","",""
"","602","The user enters valid username ""Valid_123"" on viewport size is 768×1024 (example #9)","Username validation: valid username: Valid_123","Tue May 13 10:34:48 CEST 2025","passed","Tue May 13 10:34:49 CEST 2025","","","",""
"","681","The user enters invalid username ""01234567890"" on viewport size is 1280×800 (example #10)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:48 CEST 2025","passed","Tue May 13 10:33:49 CEST 2025","","","",""
"","603","The user enters invalid username ""abc"" on viewport size is 768×1024 (example #9)","Username validation: invalid username: too short: abc","Tue May 13 10:34:06 CEST 2025","passed","Tue May 13 10:34:07 CEST 2025","","","",""
"","742","The user enters invalid username ""abc"" on viewport size is 1280×720 (example #4)","Username validation: invalid username: too short: abc","Tue May 13 10:33:58 CEST 2025","passed","Tue May 13 10:33:59 CEST 2025","","","",""
"","569","The user enters valid username ""Valid_123"" on viewport size is 393×873 (example #7)","Username validation: valid username: Valid_123","Tue May 13 10:34:38 CEST 2025","passed","Tue May 13 10:34:39 CEST 2025","","","",""
"","895","The user enters invalid username ""01234567890"" on viewport size is 768×1024 (example #9)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:47 CEST 2025","passed","Tue May 13 10:33:48 CEST 2025","","","",""
"","461","The user enters invalid username ""abc"" on viewport size is 412×915 (example #8)","Username validation: invalid username: too short: abc","Tue May 13 10:34:01 CEST 2025","passed","Tue May 13 10:34:02 CEST 2025","","","",""
"","511","The user enters invalid username ""parentalité"" on viewport size is 800×1280 (example #11)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:24 CEST 2025","passed","Tue May 13 10:34:25 CEST 2025","","","",""
"","604","The user enters invalid username ""01234567890"" on viewport size is 1366×768 (example #2)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:43 CEST 2025","passed","Tue May 13 10:33:43 CEST 2025","","","",""
"","512","The user enters invalid username ""01234567890"" on viewport size is 390×844 (example #6)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:45 CEST 2025","passed","Tue May 13 10:33:46 CEST 2025","","","",""
"","584","The user enters invalid username ""01234567890"" on viewport size is 393×873 (example #7)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:46 CEST 2025","passed","Tue May 13 10:33:47 CEST 2025","","","",""
"","763","The user enters invalid username ""01234567890"" on viewport size is 820×1180 (example #12)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:49 CEST 2025","passed","Tue May 13 10:33:50 CEST 2025","","","",""
"","553","The user enters invalid username ""parentalité"" on viewport size is 768×1024 (example #9)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:23 CEST 2025","passed","Tue May 13 10:34:24 CEST 2025","","","",""
"","571","The user enters invalid username ""parentalité"" on viewport size is 1366×768 (example #2)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:14 CEST 2025","passed","Tue May 13 10:34:15 CEST 2025","","","",""
"","552","The user enters invalid username ""01234567890"" on viewport size is 1536×864 (example #3)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:43 CEST 2025","passed","Tue May 13 10:33:44 CEST 2025","","","",""
"","530","The user enters invalid username ""parentalité"" on viewport size is 360×800 (example #5)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:21 CEST 2025","passed","Tue May 13 10:34:21 CEST 2025","","","",""
"","564","The user enters invalid username ""abc"" on viewport size is 1366×768 (example #2)","Username validation: invalid username: too short: abc","Tue May 13 10:33:57 CEST 2025","passed","Tue May 13 10:33:57 CEST 2025","","","",""
"","643","The user enters invalid username ""abc"" on viewport size is 390×844 (example #6)","Username validation: invalid username: too short: abc","Tue May 13 10:34:00 CEST 2025","passed","Tue May 13 10:34:01 CEST 2025","","","",""
"","990","Tab Navigation on the Home Page","Tab Navigation: Home page","Tue May 13 10:33:33 CEST 2025","passed","Tue May 13 10:33:34 CEST 2025","","","",""
"","468","The user enters invalid username ""abc"" on viewport size is 1280×800 (example #10)","Username validation: invalid username: too short: abc","Tue May 13 10:34:07 CEST 2025","passed","Tue May 13 10:34:08 CEST 2025","","","",""
"","611","The user enters invalid username ""01234567890"" on viewport size is 1920×1080 (example #1)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:42 CEST 2025","passed","Tue May 13 10:33:43 CEST 2025","","","",""
"","561","The user enters valid username ""Valid_123"" on viewport size is 360×800 (example #5)","Username validation: valid username: Valid_123","Tue May 13 10:34:37 CEST 2025","passed","Tue May 13 10:34:37 CEST 2025","","","",""
"","486","The user enters invalid username ""abc"" on viewport size is 800×1280 (example #11)","Username validation: invalid username: too short: abc","Tue May 13 10:34:08 CEST 2025","passed","Tue May 13 10:34:08 CEST 2025","","","",""
"","489","The user enters invalid username ""abc"" on viewport size is 393×873 (example #7)","Username validation: invalid username: too short: abc","Tue May 13 10:34:01 CEST 2025","passed","Tue May 13 10:34:01 CEST 2025","","","",""
"","594","The user enters invalid username ""parentalité"" on viewport size is 1920×1080 (example #1)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:14 CEST 2025","passed","Tue May 13 10:34:14 CEST 2025","","","",""
"","492","The user enters valid username ""Valid_123"" on viewport size is 1280×720 (example #4)","Username validation: valid username: Valid_123","Tue May 13 10:34:32 CEST 2025","passed","Tue May 13 10:34:32 CEST 2025","","","",""
"","488","The user enters valid username ""Valid_123"" on viewport size is 1366×768 (example #2)","Username validation: valid username: Valid_123","Tue May 13 10:34:31 CEST 2025","passed","Tue May 13 10:34:31 CEST 2025","","","",""
"","707","The user enters invalid username ""parentalité"" on viewport size is 1536×864 (example #3)","Username validation: invalid username: invalid character: é","Tue May 13 10:34:19 CEST 2025","passed","Tue May 13 10:34:20 CEST 2025","","","",""
"","540","The user enters invalid username ""01234567890"" on viewport size is 412×915 (example #8)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:47 CEST 2025","passed","Tue May 13 10:33:47 CEST 2025","","","",""
"","508","The user enters valid username ""Valid_123"" on viewport size is 800×1280 (example #11)","Username validation: valid username: Valid_123","Tue May 13 10:34:54 CEST 2025","passed","Tue May 13 10:34:55 CEST 2025","","","",""
"","640","The user enters valid username ""Valid_123"" on viewport size is 412×915 (example #8)","Username validation: valid username: Valid_123","Tue May 13 10:34:43 CEST 2025","passed","Tue May 13 10:34:44 CEST 2025","","","",""
"","530","The user enters invalid username ""01234567890"" on viewport size is 360×800 (example #5)","Username validation: invalid username: too long: 01234567890","Tue May 13 10:33:45 CEST 2025","passed","Tue May 13 10:33:45 CEST 2025","","","",""
"","628","The user enters invalid username ""abc"" on viewport size is 1536×864 (example #3)","Username validation: invalid username: too short: abc","Tue May 13 10:33:58 CEST 2025","passed","Tue May 13 10:33:58 CEST 2025","","","",""
"","511","The user enters valid username ""Valid_123"" on viewport size is 820×1180 (example #12)","Username validation: valid username: Valid_123","Tue May 13 10:34:55 CEST 2025","passed","Tue May 13 10:34:55 CEST 2025","","","",""
